Date,gdp growth
2023,2.9045867094033637
2024,2.9025393853017176
2025,2.9004920612000715
2026,2.8984447370984254
2027,2.8963974129967784
2028,2.8943500888951323
2029,2.8923027647934862
2030,2.8902554406918393
2031,2.888208116590193
2032,2.886160792488547
2033,2.884113468386901
2034,2.882066144285255
2035,2.880018820183608
2036,2.877971496081962
2037,2.8759241719803157
2038,2.8738768478786687
